
TimeEdit,Nackademin
Fördjupning inom Houdini och producerella miljöer 2,2024-08-19 - 2025-02-23 v 34-8 v 34-v 8,
Startdatum,Starttid,Slutdatum,Sluttid,"Klass,Grupp",Lärare,Sal,Kurs 
2024-12-02,08:00,2024-12-02,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2024-12-02,13:00,2024-12-02,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2024-12-04,08:00,2024-12-04,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2024-12-04,12:55,2024-12-04,16:55,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2024-12-09,08:00,2024-12-09,12:00,T3D23,Linus Rosenqvist,B209,Fördjupning inom Houdini och producerella miljöer 2
2024-12-09,13:00,2024-12-09,17:00,T3D23,Linus Rosenqvist,B209,Fördjupning inom Houdini och producerella miljöer 2
2024-12-11,08:00,2024-12-11,12:00,T3D23,Linus Rosenqvist,B209,Fördjupning inom Houdini och producerella miljöer 2
2024-12-11,13:00,2024-12-11,17:00,T3D23,Linus Rosenqvist,B209,Fördjupning inom Houdini och producerella miljöer 2
2024-12-16,08:00,2024-12-16,12:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-16,13:00,2024-12-16,17:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-18,08:00,2024-12-18,12:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-18,13:00,2024-12-18,17:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-23,08:00,2024-12-23,12:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-23,13:00,2024-12-23,17:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-30,08:00,2024-12-30,12:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2024-12-30,13:00,2024-12-30,17:00,T3D23,Linus Rosenqvist,C301,Fördjupning inom Houdini och producerella miljöer 2
2025-01-07,08:00,2025-01-07,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-09,08:00,2025-01-09,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-09,13:00,2025-01-09,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-14,08:00,2025-01-14,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-14,13:00,2025-01-14,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-16,08:00,2025-01-16,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-16,13:00,2025-01-16,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-21,08:00,2025-01-21,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-21,13:00,2025-01-21,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-23,08:00,2025-01-23,12:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
2025-01-23,13:00,2025-01-23,17:00,T3D23,Linus Rosenqvist,B210,Fördjupning inom Houdini och producerella miljöer 2
